Date,z_score,spread_change,spread_vol_20,spread_ret,adf_p_252,hurst_252,adf_stationary,hurst_mr,regime_score,y
2020-12-31,-0.9827300956938368,-0.014984486084721,0.0120541149931171,-0.0149844860847198,0.0055235718932747,0.1895634110855314,1,1,2,1
2021-01-04,-0.6266713771976523,0.0185635542212363,0.0120979158755576,0.0185635542212373,0.0072615129252133,0.1891189618601945,1,1,2,1
2021-01-05,-0.5515559319713722,0.0039029799236072,0.0117587026404166,0.0039029799236051,0.0060302219095393,0.1891756169153095,1,1,2,1
2021-01-06,-0.2727089887987473,0.0145978461255449,0.0121755510071597,0.0145978461255455,0.0062115990927122,0.1891520030570595,1,1,2,0
2021-01-07,-0.3484499471929839,-0.0039523572072805,0.0124540489246922,-0.0039523572072811,0.0050614205336345,0.1891632139109185,1,1,2,0
2021-01-08,-0.348818499294734,-2.4536209537018298e-05,0.0126712873656647,-2.4536209536336548e-05,0.005937287047126,0.188903146803017,1,1,2,0
2021-01-11,-0.3532168391003021,-0.0002190698879669,0.0125009246946565,-0.0002190698879666,0.0058483499312734,0.1880939123803861,1,1,2,0
2021-01-12,-0.3804878439343698,-0.0014309591076209,0.0112797538989682,-0.0014309591076203,0.0063530580941283,0.1861936845113335,1,1,2,0
2021-01-13,-0.5675298620381658,-0.0098157724754415,0.0101203117651202,-0.0098157724754427,0.0055067538641494,0.183342950945848,1,1,2,1
2021-01-14,-0.4829554465569456,0.0043991948272168,0.0095301362364999,0.0043991948272173,0.0062439293622215,0.1797669503234379,1,1,2,0
2021-01-15,-0.8081221886699183,-0.0171022084994678,0.0099994360395205,-0.0171022084994676,0.0054021787779936,0.1761129112399527,1,1,2,1
2021-01-19,-0.753651689781492,0.0027182282239923,0.0097996879118559,0.0027182282239911,0.0070029787205794,0.1722705866530082,1,1,2,1
2021-01-20,-0.7168362714896775,0.0017837417997697,0.0096923691412906,0.0017837417997712,0.0066609640699056,0.168621703351926,1,1,2,0
2021-01-21,-0.5472274447649359,0.0088233781408888,0.009700897242349,0.0088233781408873,0.0072449206078912,0.1652340037308607,1,1,2,0
2021-01-22,-0.5076157825894207,0.0020108763432649,0.0096106292016112,0.0020108763432654,0.0063298710111911,0.1617113684736266,1,1,2,0
2021-01-25,-0.7650565333666146,-0.0136944636533922,0.0098104532509929,-0.0136944636533928,0.0065483209526189,0.1583032075421985,1,1,2,0
2021-01-26,-0.4456660032282215,0.0166594369415413,0.0096390871583168,0.0166594369415419,0.0069437893823197,0.1552532686289838,1,1,2,0
2021-01-27,-0.7913561595168725,-0.0182636483753739,0.0100221355201797,-0.0182636483753742,0.0061066126729717,0.1521525809880478,1,1,2,1
