Date,z_score,spread_change,spread_vol_20,spread_ret,adf_p_252,hurst_252,adf_stationary,hurst_mr,regime_score,y
2020-12-31,0.7412822806246357,-0.0013672170073073,0.0038574221337836,-0.0013672170073071,0.0995397854079866,0.2957219148463313,0,1,1,0
2021-01-04,0.8244695395766628,0.0019677291409139,0.0039145517283267,0.0019677291409138,0.0971721453326855,0.2957918161355709,0,1,1,1
2021-01-05,0.8047174160472322,-0.0006286837206306,0.0040712980913369,-0.0006286837206309,0.0811746809437335,0.2957456996896126,0,1,1,0
2021-01-06,0.7880920949353264,-0.0005396268507547,0.0040270754237713,-0.0005396268507543,0.0865902094098328,0.2954924047393707,0,1,1,0
2021-01-07,0.7654822686921,-0.0006850714137569,0.0038516989402596,-0.0006850714137567,0.0674180052146516,0.2948056380132463,0,1,1,0
2021-01-08,0.7957956436188258,0.0006476472498966,0.0037773051393767,0.0006476472498963,0.0680449586798875,0.2933926169327779,0,1,1,0
2021-01-11,0.7793283842295258,-0.0005497388095387,0.0037391355106115,-0.0005497388095385,0.074854503045207,0.2910182348718613,0,1,1,0
2021-01-12,1.0076847505156743,0.005658855701025,0.0038489313294541,0.0056588557010247,0.0656892823803194,0.287277006938943,0,1,1,1
2021-01-13,1.091764269220268,0.0020331911796898,0.0041250012719171,0.0020331911796897,0.0574509517257101,0.2827321606304673,0,1,1,1
2021-01-14,1.1459809964137706,0.0013018238170063,0.0044495124355848,0.0013018238170063,0.0677175873408806,0.2775026600722505,0,1,1,1
2021-01-15,1.0494350410328697,-0.0024763002551768,0.0042780757082672,-0.0024763002551767,0.0725241880633013,0.2720692945133484,0,1,1,1
2021-01-19,0.9724980281715168,-0.0019705327249974,0.0040794224909632,-0.0019705327249975,0.0584009215462075,0.2665492974380793,0,1,1,1
2021-01-20,0.7138343131892109,-0.0065298374975664,0.0038591076710222,-0.0065298374975663,0.0605373894473003,0.2610235958036398,0,1,1,1
2021-01-21,0.6550853888225121,-0.0015538930830727,0.003573461118711,-0.0015538930830725,0.0523622451550976,0.255166485244907,0,1,1,1
2021-01-22,0.5755066268802516,-0.002063484061654,0.0037887616548401,-0.0020634840616539,0.0480042100421057,0.2485957159112297,1,1,2,0
2021-01-25,0.5250338408233357,-0.0013352245226929,0.0042029645056,-0.0013352245226934,0.0449793567757927,0.2418841191503001,1,1,2,0
2021-01-26,0.3214212546201798,-0.005131120701562,0.0050923063760293,-0.0051311207015619,0.0554753965260313,0.2347698908027058,0,1,1,0
2021-01-27,0.5680889229710671,0.0060074462155914,0.0052676336172729,0.0060074462155916,0.0424856729555789,0.2274971923780959,1,1,2,1
2021-01-28,0.6541276330256505,0.0020330797863361,0.0053106531086979,0.0020330797863362,0.0377096389273124,0.2189465450738308,1,1,2,1
2021-01-29,0.7576430544769743,0.0024383572451762,0.0053120420705213,0.0024383572451761,0.0330422621197661,0.210065150024675,1,1,2,1
2021-02-01,0.6894500145284639,-0.0017972286152945,0.005358532507836,-0.0017972286152946,0.0371663868125379,0.2004683980453085,1,1,2,1
2021-02-02,0.6251234943414798,-0.0016778205392373,0.0054310851961074,-0.0016778205392369,0.0314221541974001,0.1908243607908814,1,1,2,1
2021-02-03,0.515793600006819,-0.0028029549191135,0.0056372987486429,-0.0028029549191141,0.0280100817070433,0.1819501546188197,1,1,2,1
2021-02-04,0.5406692262922517,0.000448492757382,0.0057871545821647,0.000448492757382,0.0284763404915019,0.1723898454015166,1,1,2,1
2021-02-05,0.4681674580476383,-0.0019001114076329,0.0060249145651112,-0.0019001114076325,0.0220941060871154,0.1621259079786206,1,1,2,1
2021-02-08,0.5526491477561424,0.0019092091609063,0.0061068096025678,0.0019092091609063,0.0206721391531706,0.1524458455254903,1,1,2,1
2021-02-09,0.4449708279246573,-0.0027262225675444,0.0063105646929882,-0.0027262225675443,0.0156253967307121,0.1430831668224598,1,1,2,1
2021-02-10,0.3354614292732908,-0.0027691895849435,0.0063429158467314,-0.0027691895849434,0.0108547599356247,0.1337848787723007,1,1,2,1
2021-02-11,0.3479208121543309,0.0001589825284415,0.006018968330982,0.0001589825284412,0.0102718018055827,0.1243277692819237,1,1,2,1
2021-02-12,0.3726359957652346,0.000446842745279,0.0052686091050928,0.000446842745279,0.015956204034982,0.1151743465399814,1,1,2,1
2021-02-16,0.2566484144969302,-0.0028874794490247,0.0047745364500856,-0.0028874794490249,0.0453352815877838,0.1059501219669802,1,1,2,0
2021-02-17,0.2145403014198395,-0.0011140568727223,0.0043680804000387,-0.0011140568727221,0.026820618533947,0.0969790399564324,1,1,2,0
