Date,z_score,spread_change,spread_vol_20,spread_ret,adf_p_252,hurst_252,adf_stationary,hurst_mr,regime_score
2020-12-31,0.11566308582467175,-0.016835308215528588,0.01141977309487023,-0.016835308215528418,0.40547682634615145,0.34451744925025146,0,1,1
2021-01-04,0.39879859698830566,0.014410805867890009,0.0115437941585333,0.014410805867889677,0.4115025518578425,0.34378289421454794,0,1,1
2021-01-05,0.6924005704808206,0.014924416498554471,0.011520160210746946,0.014924416498554551,0.40373837523279077,0.34341504712739906,0,1,1
2021-01-06,0.1609754934963393,-0.026186576728002287,0.012644244221943159,-0.026186576728002106,0.40664340133700694,0.34189086957675835,0,1,1
2021-01-07,0.13424823821724063,-0.0010829183013747468,0.013587337612557832,-0.0010829183013748786,0.3965478215150409,0.340321679139317,0,1,1
2021-01-08,0.11463863417789952,-0.0007161524841823308,0.014387898828700424,-0.0007161524841823312,0.39088284751734964,0.33825321644439155,0,1,1
2021-01-11,-0.1529411258294231,-0.012971180511815117,0.015861014484216816,-0.012971180511815216,0.3924331591929345,0.33643213448545556,0,1,1
2021-01-12,-0.18780005529613814,-0.0014952454187242559,0.016781417193844614,-0.001495245418724157,0.4165788519816872,0.3338001408814456,0,1,1
2021-01-13,-0.21325573234745174,-0.0010414593857515086,0.017220085877122038,-0.0010414593857512543,0.413037001472537,0.3313698630172058,0,1,1
2021-01-14,-0.1509505543283364,0.003214253993171212,0.01716041457841329,0.003214253993170809,0.41462268531745355,0.32913841271975114,0,1,1
2021-01-15,-0.09311203897211041,0.0030063968175362277,0.016717378130778743,0.003006396817536377,0.42873530328397813,0.32651385532162464,0,1,1
2021-01-19,-0.0951400848391487,8.477893699110339e-05,0.015472257932110168,8.477893699100365e-05,0.40781570673296447,0.3239006528168726,0,1,1
2021-01-20,0.15777969312785936,0.012484651625261023,0.01385020005737318,0.012484651625261281,0.42156032135799476,0.32119180778719897,0,1,1
2021-01-21,0.25078993456542337,0.004737942344757329,0.013563687219728091,0.004737942344757079,0.4296488128380658,0.3175669588773276,0,1,1
2021-01-22,0.09683605957081698,-0.007277959053487937,0.01275707713389346,-0.007277959053487626,0.43255624115562785,0.3142655926118937,0,1,1
2021-01-25,0.2746177377287022,0.008792544997745289,0.012416367324734922,0.008792544997745335,0.4277503107424625,0.3111495290311789,0,1,1
2021-01-26,0.3340201767375764,0.003070286525779675,0.011924354587404358,0.0030702865257794757,0.4206639723506346,0.30758725360620276,0,1,1
