,ticker1,ticker2,trace_stat,cv_95,johansen_excess,hurst,half_life_days,evec0,evec1
1,EWJ,HYG,51.68,15.49,36.19,0.1629,12.9,1.0,-2.209427397379595
2,HYG,XLC,31.5,15.49,16.01,0.2318,17.0,1.0,-0.27002227615485364
3,XLU,XOP,18.15,15.49,2.65,0.2486,19.0,1.0,-0.18324744453318434
4,HYG,MTUM,27.63,15.49,12.14,0.2342,19.9,1.0,-0.38586774967886817
5,EWC,IWD,16.49,15.49,0.99,0.3108,19.9,1.0,-1.0367544203596115
6,GDXJ,LQD,19.14,15.49,3.64,0.3982,20.1,1.0,-1.7516282395902654
7,USO,XLU,29.76,15.49,14.26,0.2532,20.2,1.0,-4.3606188432397275
8,EWG,HYG,33.28,15.49,17.78,0.2579,20.5,1.0,-3.082925645252044
9,EWJ,XLC,24.66,15.49,9.17,0.3341,20.8,1.0,-0.5960967842606282
10,EWC,XLF,17.1,15.49,1.61,0.3928,21.9,1.0,-0.8178772191492816
11,GDXJ,USO,28.16,15.49,12.67,0.3663,22.5,1.0,0.35579624175512425
12,XLP,XLV,24.78,15.49,9.29,0.3543,23.0,1.0,-0.8019122457138543
13,XLP,XLU,18.49,15.49,2.99,0.2259,23.4,1.0,-1.3077556623484345
14,EWA,XLB,17.56,15.49,2.07,0.3718,23.5,1.0,-0.7953233128691067
15,GDX,USO,25.39,15.49,9.9,0.3996,24.4,1.0,0.20650906000505623
